annee,region,age,taille,couleur_cheveux,longueur_cheveux,couleur_yeux,couleur_peau,laureat_culture_generale,est_tombee,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12
2014,Roussillon,21,173,Blonds,Longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1
2014,Saint-Pierre-et-Miquelon,23,175,Bruns,Courts,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Tahiti,22,178,Noirs,Mi-longs,Marrons,Blanche,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1
2015,Alsace,24,176,Blonds,Courts,Bleus,Blanche,0.0,0,0,0,0,0,1,1,1,1,1,1,1,1
2015,Aquitaine,20,176,Bruns,Mi-longs,Marrons,Blanche,0.0,0,0,0,0,1,1,1,1,1,1,1,1,1
2015,Auvergne,20,178,Bruns,Mi-longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Bourgogne,19,180,Bruns,Longs,Gris,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Bretagne,20,178,Bruns,Mi-longs,Bleus,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Centre,18,175,Blonds,Mi-longs,Gris,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,Champagne-Ardenne,20,177,Bruns,Courts,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Corse,20,183,Blonds,Longs,Noirs,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Côte d Azur,20,170,Chatains,Longs,Gris,Blanche,0.0,0,0,0,1,1,1,1,1,1,1,1,1,1
2015,Franche-Comté,24,178,Noirs,Longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Guadeloupe,18,179,Bruns,Mi-longs,Marrons,Noire,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1
